line	field	track	subtrack	group	staff	measure	qstart	tstart	qdur	tdur	pitch	chord	accent	marcato	sforzando	tenuto	staccato	trill	mordent	turn	sslur	eslur	ppitch	pqstart	ptstart	pqdur	ptdur	npitch	nqstart	ntstart	nqdur	ntdur
17	1	1	0	1	1	95	0.5	2	0.25	1	86	0	0	0	0	0	1	0	0	0	1	0	-1	-1	-1	-1	-1	86	0.75	3	0.25	1
18	1	1	0	1	1	95	0.75	3	0.25	1	86	0	0	0	0	0	1	0	0	0	0	0	86	0.5	2	0.25	1	86	1	4	0.5	2
19	1	1	0	1	1	95	1	4	0.5	2	86	0	0	0	0	0	1	0	0	0	0	0	86	0.75	3	0.25	1	86	1.5	6	0.5	2
21	1	1	0	1	1	96	1.5	6	0.5	2	86	0	0	0	0	0	1	0	0	0	0	0	86	1	4	0.5	2	88	2	8	0.75	3
22	1	1	0	1	1	96	2	8	0.75	3	88	0	0	0	0	1	0	0	0	0	0	0	86	1.5	6	0.5	2	86	2.75	11	0.25	1
23	1	1	0	1	1	96	2.75	11	0.25	1	86	0	0	0	0	0	0	0	0	0	0	0	88	2	8	0.75	3	85	3	12	0.5	2
25	1	1	0	1	1	97	3	12	0.5	2	85	0	0	0	0	0	0	0	0	0	0	1	86	2.75	11	0.25	1	81	3.5	14	0.25	1
26	1	1	0	1	1	97	3.5	14	0.25	1	81	0	0	0	0	0	0	0	0	0	0	0	85	3	12	0.5	2	83	3.75	15	0.25	1
27	1	1	0	1	1	97	3.75	15	0.25	1	83	0	0	0	0	0	0	0	0	0	0	0	81	3.5	14	0.25	1	85	4	16	0.75	3
28	1	1	0	1	1	97	4	16	0.75	3	85	0	0	0	0	0	0	0	0	0	0	0	83	3.75	15	0.25	1	81	4.75	19	0.25	1
31	1	1	0	1	1	98	4.75	19	0.25	1	81	0	0	0	0	0	0	0	0	0	1	0	85	4	16	0.75	3	83	5	20	0.75	3
32	1	1	0	1	1	98	5	20	0.75	3	83	0	0	0	0	0	0	0	0	0	0	0	81	4.75	19	0.25	1	81	5.75	23	0.25	1
33	1	1	0	1	1	98	5.75	23	0.25	1	81	0	0	0	0	0	0	0	0	0	0	0	83	5	20	0.75	3	79	6	24	0.5	2
35	1	1	0	1	1	99	6	24	0.5	2	79	0	0	0	0	0	0	0	0	0	0	0	81	5.75	23	0.25	1	81	6.5	26	0.25	1
36	1	1	0	1	1	99	6.5	26	0.25	1	81	0	0	0	0	0	0	0	0	0	0	0	79	6	24	0.5	2	83	6.75	27	0.25	1
37	1	1	0	1	1	99	6.75	27	0.25	1	83	0	0	0	0	0	0	0	0	0	0	0	81	6.5	26	0.25	1	81	7	28	0.75	3
38	1	1	0	1	1	99	7	28	0.75	3	81	0	0	0	0	0	0	0	0	0	0	0	83	6.75	27	0.25	1	78	7.75	31	0.25	1
41	1	1	0	1	1	100	7.75	31	0.25	1	78	0	0	0	0	0	0	0	0	0	0	0	81	7	28	0.75	3	79	8	32	0.75	3
42	1	1	0	1	1	100	8	32	0.75	3	79	0	0	0	0	0	0	0	0	0	0	0	78	7.75	31	0.25	1	78	8.75	35	0.25	1
43	1	1	0	1	1	100	8.75	35	0.25	1	78	0	0	0	0	0	0	0	0	0	0	0	79	8	32	0.75	3	76	9	36	0.5	2
45	1	1	0	1	1	101	9	36	0.5	2	76	0	0	0	0	0	0	0	0	0	0	0	78	8.75	35	0.25	1	78	9.5	38	0.25	1
46	1	1	0	1	1	101	9.5	38	0.25	1	78	0	0	0	0	0	0	0	0	0	0	0	76	9	36	0.5	2	76	9.75	39	0.25	1
47	1	1	0	1	1	101	9.75	39	0.25	1	76	0	0	0	0	0	0	0	0	0	0	0	78	9.5	38	0.25	1	74	10	40	0.5	2
48	1	1	0	1	1	101	10	40	0.5	2	74	0	0	0	0	0	0	0	0	0	0	1	76	9.75	39	0.25	1	-1	-1	-1	-1	-1
